YEARMODA,TEMP,VISIB,WDSP,DEWP,MAX,MIN,PRCP,SNDP,I_FOG,I_RAIN_DRIZZLE,I_SNOW_ICE,I_HAIL,I_THUNDER,I_TORNADO_FUNNEL,RH
2013-06-10,21.5,13.7,2.2,16.7,26.7,12.8,5.6,0,0,1,0,0,1,0,73.1
2013-06-11,21.3,13.7,2.5,16.4,28.3,15.6,1.3,0,0,1,0,0,0,0,76
2013-06-12,23.9,16.1,2.6,17.9,30,19.4,0,0,0,1,0,0,1,0,70
2013-06-13,19.4,15,5.2,14.4,22.8,16,19,0,0,1,0,0,1,0,69.6
2013-06-14,17.8,16.1,4,10.8,25.6,13.3,0,0,0,0,0,0,0,0,65
2013-06-15,19.3,15.8,2.7,13.8,26.7,13.3,0,0,0,1,0,0,0,0,72.7
2013-06-16,24.7,16.1,4.8,17.7,30,14.4,4.3,0,0,1,0,0,1,0,64.5
2013-06-17,25.2,16.1,3.3,13.6,31.1,15.6,0,0,0,0,0,0,0,0,50
2013-06-18,17.1,12.7,5.1,12.6,29.4,13,0.8,0,0,0,0,0,0,0,78.9
2013-06-19,17.5,16.1,3.6,9.1,23.9,12.2,0,0,0,0,0,0,0,0,60
2013-06-20,21.8,16.1,2.3,11.2,30,13.3,0,0,0,0,0,0,0,0,50
2013-06-21,23.8,16.1,4.3,17.2,30,13.3,0,0,1,1,0,0,1,0,69
2013-06-22,22.8,16.1,3.9,19.7,27.8,20,20.1,0,0,1,0,0,0,0,82.1
2013-06-23,24.4,15.8,4.9,19.4,30.6,18.9,1,0,0,1,0,0,1,0,74.2
2013-06-24,24.7,15.3,4.7,19.9,31.7,20,21.3,0,0,1,0,0,1,0,74.2
2013-06-25,22.8,16.1,3.6,19.6,33.3,19.4,4.6,0,0,1,0,0,1,0,82.1
2013-06-26,22.7,15,3.3,19.6,29.4,18.9,28.4,0,0,1,0,0,1,0,82.1
2013-06-27,24.3,13.4,3.4,19.5,32.2,17.8,9.9,0,0,1,0,1,1,0,76.7
2013-06-28,23.7,16.1,4.6,16.7,32.2,17.8,23.4,0,0,1,0,0,0,0,65.5
2013-06-29,20,15.4,4.9,16.2,28.3,17.8,0,0,0,0,0,0,0,0,78.3
2013-06-30,19.8,16.1,6.4,13.1,25,16.7,0,0,0,0,0,0,0,0,65.2
2013-07-01,20.2,16.1,5.9,9.1,25,15,0,0,0,0,0,0,0,0,50
2013-07-02,18.1,16.1,4.9,11,23.9,15,0,0,0,1,0,0,0,0,61.9
2013-07-03,17.8,13.7,3.1,14.8,22.2,15.6,0,0,0,1,0,0,0,0,85
2013-07-04,20.6,14,1.9,15.9,28.3,13.3,0.5,0,0,0,0,0,0,0,75
2013-07-05,23.3,15.4,2.1,15.9,30,13.3,0,0,0,0,0,0,0,0,62.1
